taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
GU061671.1.1480				marineRestricted	marineRestricted	0	0.002778667	0.010903384	28	31	1.35E-14	0.00973263	1.24E-28	No	30.23546671	
GU127275.1.1232				freshRestricted	freshRestricted	0.049453092	0.009662589	0.000220329	7	20	1.06E-19	1.49E-05	2.02E-14	No	9.493245784	
GU234854.1.1362				brackishRestricted	brackishRestricted	0.00191363	0.009766184	0.001485297	6	10	0.000693923	3.94E-06	0.362738986	No	6	10
GU234874.1.1371				brackishRestricted	brackishRestricted	0.003250609	0.012772888	0.002918776	8	10	3.08E-06	4.95E-06	0.44606363	No	8	10
GU235095.1.1363				marineRestricted	marineRestricted	0.000475579	0.001740773	0.004364345	8	31	0.000542376	0.072321638	0.000130295	No	23.51704315	
GU235111.1.1369	marineRestricted	5 to 35	YES	marineRestricted	marineRestricted	0.000171001	0.00462963	0.015610644	32	34	0.018956681	0.044030056	3.83E-22	No	33.42244403	
GU235197.1.1372	marineRestricted	26 to 35	YES	marineRestricted	marineRestricted	0	0.003373944	0.014403835	27	34	7.06E-18	0.0137819	1.53E-32	No	32.36032505	
GU235205.1.1368				marineRestricted	marineRestricted	0	0	0.034758393	17.5	34	1	3.06E-07	9.75E-31	No	34	
GU235207.1.1377	brackishRestricted	3 to 12	YES	brackishRestricted	brackishRestricted	0.005488826	0.056722729	0.000752212	8	16	1.43E-10	1.14E-08	0.015396102	No	8	16
GU235495.1.1319				brackishRestricted	brackishRestricted	0.000216188	0.004325643	0.001406119	7	9	2.47E-05	0.001842647	0.019951406	No	7	9
GU451392.1.1231				marineRestricted	marineRestricted	4.56E-05	0.004734357	0.001286008	28	33	8.13E-19	0.044080006	0.001081523	No	28	
GU451672.1.1244	brackishRestricted	3 to 20	YES	brackishPeakLoToler	brackishRestricted	0.008509779	0.021991836	0.002167315	13	17	0.000637705	1.26E-06	0.000689625	No	13	17
GU451674.1.1246				brackishRestricted	brackishRestricted	0.00172919	0.009919609	0.000327936	16	18.5	0.000147233	6.51E-07	0.011263395	No	16	18.5
HE574354.1.1344				freshRestricted	freshRestricted	0.024082747	0.006053322	0.000461656	3	5	0.010584825	0.00122106	7.60E-13	No	3.473446879	
HE574357.1.1362				brackishBloom	brackishRestricted	0.00054274	0.005395683	0	18.5	21	0.026622359	0.003529166	0.113888753	brackish	18.5	21
HE574392.1.1305				freshRestricted	freshRestricted	0.038611343	0.019068038	0.002346979	4	6	0.004049816	5.14E-11	2.55E-15	No	4.922175776	
HM127504.1.1438				brackishRestricted	brackishRestricted	0.001358699	0.00717237	0.000924697	7	9	6.96E-05	3.28E-07	0.329057704	No	7	9
HM127738.1.1450				noclass	noclass	0	0.000318904	0	7	13	0.03638366	0.050052218	1	No		
HM127843.1.1427				freshRestricted	freshRestricted	0.005128806	0.002386265	0.000279491	3	8	0.214044719	0.000194284	0.001540117	No	5.172239121	
HM128596.1.1438	freshRestricted	0 to 12	 NO	noclass	noclass	0.001816281	0.004040355	0.00026255	6	8	0.124494184	0.002411905	0.146339774	No		
HM129305.1.1452	brackishRestricted	3 to 15	 NO	noclass	noclass	0	0.003882544	0.000827749	4	8	0.030412764	0.000245521	0.195825799	No		
HM129535.1.1453				brackishRestricted	brackishRestricted	0.000584849	0.00779072	0.001304526	7	9	3.81E-08	6.96E-08	0.069346597	No	7	9
HM129619.1.1441				freshRestricted	freshRestricted	0.008674407	0.000157305	0.000826602	4	11	3.82E-12	0.027986617	5.66E-05	No	4	
HM129804.1.1452				brackishRestricted	brackishRestricted	0	0.002487774	0.000146089	4	6	0.022562725	6.18E-07	0.269699598	No	4	6
HM129853.1.1444				freshBloom	freshRestricted	0.008523696	0.002762188	0.000673485	3	8	0.5	0.006979607	0.194348967	fresh	4.330347926	
HM129942.1.1463	brackishRestricted	6 to 12	 NO	noclass	noclass	0	0.002899716	0.000422246	6	8	0.08620167	0.056613192	0.279100112	No		
HM446087.1.1415				freshRestricted	freshRestricted	0.014370158	0.000792835	0.000125355	4	8	1.74E-05	0.022253041	3.87E-10	No	4.18743117	
HM856383.1.1434				noclass	noclass	0.006615738	0.009119291	0.00076606	4	7	0.32765502	6.93E-06	4.47E-05	No		
HM856482.1.1436				freshRestricted	freshRestricted	0.018334595	0.004149293	0.000101364	4	7	0.001614758	2.88E-07	4.84E-19	No	4.666024932	
